"all_trips_v2$member_casual","all_trips_v2$day_of_week","all_trips_v2$ride_length"
"casual","Sunday",5061.30436414326
"member","Sunday",972.938335797465
"casual","Monday",4752.05043820426
"member","Monday",822.311201666214
"casual","Tuesday",4561.80385720148
"member","Tuesday",769.441628768344
"casual","Wednesday",4480.37243172952
"member","Wednesday",711.983790257748
"casual","Thursday",8451.66685322513
"member","Thursday",707.209274283707
"casual","Friday",6090.73730188444
"member","Friday",796.733788899694
"casual","Saturday",4950.77080086098
"member","Saturday",974.072963829465
